Study_id,Distribution_in_group1,Distribution_in_group2,Distribution_in_group3,n_group1,n_group2,n_group3,n_infection1,n_infection2,n_infection3,n_SepsisSepticshock1,n_SepsisSepticshock2,n_SepsisSepticshock3,n_Bacteremia1,n_Bacteremia2,n_Bacteremia3,n_AnyInfection1,n_AnyInfection2,n_AnyInfection3,n_OtherInfection1,n_OtherInfection2,n_OtherInfection3
Corwin 2002,3,2.4,,652,650,,30,31,,30,31,,,,,,,,16,19,
Corwin 2007,4.5,4.3,,728,720,,47,50,,47,50,,,,,,,,,,
Earley_2006,19.5,13.8,,270,244,,23,2,,,,,,,,,,,23,2,
English_2024,2,0,,366,366,,2,5,,2,5,,19,20,,,,,88,98,
Fernandez_2010,1.9,2.2,,23,39,,7,4,,,,,,,,7,4,,,,
George_2008,0,2.8,,39,43,,6,2,,6,2,,9,4,,,,,31,30,
Georgopoulos 2005,4.86,1.74,1.77,48,51,49,21,22,26,,,,,,,21,22,26,,,
Gobatto_2019,3.1,1.5,,21,23,,5,11,,5,11,,2,3,,,,,5,9,
Hebert_1999,2.6,5.6,,418,420,,41,29,,41,29,,30,40,,42,50,,87,86,
Leal-Noval_2013,0,2,,214,214,,14,27,,,,,,,,14,27,,,,
Michetti_2016,3,2.5,,583,455,,19,5,,,,,,,,19,5,,,,
Pieracci 2014,0.145,0.0894,,75,75,,44,52,,,,,,,,44,52,,,,
Piriyapatsom_2014,0,4.6,,49,239,,4,64,,,,,,,,,,,4,64,
Rachoin_2009,3.4,0,,609,1823,,5,9,,5,9,,24,20,,64,90,,20,38,
Robertson_2014,4.7,7.1,,99,101,,3,5,,3,5,,2,2,,27,36,,13,20,
Schreiber_2015,4,4,2,85,82,86,7,6,9,7,6,9,,,,26,30,28,,,
Taccone_2024,2,0,,397,423,,45,64,,45,64,,,,,,,,,,
Taylor_2006,3.7,0,,428,1657,,22,25,,22,25,,9,17,,61,96,,31,57,
Turgeon_2024,3,0,,369,367,,21,28,,21,28,,24,27,,204,192,,130,121,
Xiao_2020,4.2,4.27,,523,729,,7,20,,,,,,,,,,,7,20,
Yahia_2018,1.96,4.4,,25,25,,3,6,,,,,,,,3,6,,1,1,
Zilberberg_2008,8.56,0,,2912,1432,,1447,288,,,,,1447,288,,,,,2510,1136,