Study_id,Distribution_in_group,n_group,n_infection,E_or,E_logor,E_se
Corwin 2002,3,652,30,0.048231511,-3.031742711,0.186925253
Corwin 2002,2.4,650,31,0.050080775,-2.994118068,0.184047748
Corwin 2007,4.5,728,47,0.069016153,-2.673414704,0.150814537
Corwin 2007,4.3,720,50,0.074626866,-2.595254707,0.146603333
English_2024,2,366,2,0.005494505,-5.204006687,0.709046721
English_2024,0,366,5,0.013850416,-4.279440046,0.450299992
Gobatto_2019,3.1,21,5,0.3125,-1.16315081,0.512347538
Gobatto_2019,1.5,23,11,0.916666667,-0.087011377,0.417423555
Hebert_1999,2.6,418,41,0.108753316,-2.218673121,0.164446842
Hebert_1999,5.6,420,29,0.074168798,-2.60141173,0.192458576
Robertson_2014,4.7,99,3,0.03125,-3.465735903,0.58630197
Robertson_2014,7.1,101,5,0.052083333,-2.954910279,0.458711965
Schreiber_2015,4,85,7,0.08974359,-2.410798678,0.394560079
Schreiber_2015,4,82,6,0.078947368,-2.538973871,0.424057262
Schreiber_2015,2,86,9,0.116883117,-2.146580845,0.352275637
Taccone_2024,2,397,45,0.127840909,-2.056968686,0.158313396
Taccone_2024,0,423,64,0.178272981,-1.724439305,0.135685354
Turgeon_2024,3,369,21,0.060344828,-2.807680042,0.224705609
Turgeon_2024,0,367,28,0.08259587,-2.493795597,0.196631987